U,U,U,U,weight,product,genotype prob
11,11,11,11,0.466115545,0.000906558,0.016170004
11,99,11,11,0.375301766,0.000729932,0.058350659
99,99,11,11,0.158582689,0.000308431,0.052640669
11,11,11,99,3.20E-22,6.22E-25,0.058350659
11,99,11,99,2.19E-24,4.26E-27,0.210562675
99,99,11,99,1.26E-26,2.45E-29,0.189957754
11,11,99,99,1.72E-70,3.35E-73,0.052640669
11,99,99,99,3.81E-75,7.41E-78,0.189957754
