Factor,Marker,Repeat_length,Dye,Model,Locus_specific,Parameter1,Parameter2,Parameter3,Parameter4
FSR,D7S820,4,R,LUS,FALSE,0.000401973,0.001008406,1996.049523,
FSR,SE33,4,R,LUS,FALSE,0.000401973,0.001008406,1996.049523,
FSR,D10S1248,4,P,LUS,FALSE,0.000401973,0.001008406,1996.049523,
FSR,D1S1656,4,P,LUS,FALSE,0.000401973,0.001008406,1996.049523,
FSR,D12S391,4,P,LUS,FALSE,0.000401973,0.001008406,1996.049523,
FSR,D2S1338,4,P,LUS,FALSE,0.000401973,0.001008406,1996.049523,
DSR,D3S1358,4,B,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,vWA,4,B,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D16S539,4,B,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,CSF1PO,4,B,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,TPOX,4,B,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D8S1179,4,G,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D21S11,4,G,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D18S51,4,G,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D2S441,4,Y,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D19S433,4,Y,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,TH01,4,Y,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,FGA,4,Y,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D22S1045,3,R,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D5S818,4,R,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D13S317,4,R,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D7S820,4,R,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,SE33,4,R,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D10S1248,4,P,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D1S1656,4,P,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D12S391,4,P,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
DSR,D2S1338,4,P,LUS,FALSE,0.00046302,-0.001497539,1036.493731,
M2SR,D3S1358,4,B,No,,,,,
M2SR,vWA,4,B,No,,,,,
M2SR,D16S539,4,B,No,,,,,
M2SR,CSF1PO,4,B,No,,,,,
M2SR,TPOX,4,B,No,,,,,
M2SR,D8S1179,4,G,No,,,,,
M2SR,D21S11,4,G,No,,,,,
M2SR,D18S51,4,G,No,,,,,
M2SR,D2S441,4,Y,No,,,,,
M2SR,D19S433,4,Y,No,,,,,
M2SR,TH01,4,Y,No,,,,,
M2SR,FGA,4,Y,No,,,,,
M2SR,D22S1045,3,R,No,,,,,
M2SR,D5S818,4,R,No,,,,,
M2SR,D13S317,4,R,No,,,,,
M2SR,D7S820,4,R,No,,,,,
M2SR,SE33,4,R,Uniform,TRUE,0.026684511,121.6028926,,
M2SR,D10S1248,4,P,No,,,,,
M2SR,D1S1656,4,P,Uniform,TRUE,0.013338598,398.8107531,,
M2SR,D12S391,4,P,No,,,,,
M2SR,D2S1338,4,P,No,,,,,
