Marker,P16,P16,P19,P19
D3S1358,17,18,17,19
vWA,16,17,14,19
D16S539,9,9,9,13
CSF1PO,9,12,10,12
TPOX,11,11,8,11
Yindel,,,,
AMEL,X,X,X,X
D8S1179,13,13,12,15
D21S11,29,30,30,32.2
D18S51,14,14,14,18
DYS391,,,,
D2S441,12,14,10,12
D19S433,13,13.2,13,14
TH01,6,9,7,9.3
FGA,19,22,23,23
D22S1045,16,18,17,17
D5S818,9,13,10,12
D13S317,8,9,8,9
D7S820,9,10,10,12
SE33,18,24.2,25.2,26.2
D10S1248,14,15,14,16
D1S1656,14,17,15,17.3
D12S391,18,19,18,20
D2S1338,19,20,19,19
